# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
425	69.2356	69.2356
426	69.2356	69.2356
427	69.2356	69.2356
428	69.2356	69.2356
429	69.2356	69.2356
430	69.2356	69.2356
431	69.2356	69.2356
432	69.2356	69.2356
433	69.2356	69.2356
434	69.2356	69.2356
435	69.2356	69.2356
436	69.2356	69.2356
437	69.2356	69.2356
438	69.1641	69.2356
439	69.1641	69.2345
440	69.1641	69.2259
441	69.1641	69.209
442	69.1641	69.1904
443	69.1641	69.1752
444	69.1641	69.1646
445	69.1641	69.1641
446	69.1641	69.1641
447	69.1641	69.1641
448	69.1641	69.1641
449	69.1641	69.1641
450	69.1641	69.1641
451	69.1641	69.1641
452	69.1641	69.1641
453	69.1641	69.1641
454	69.1641	69.1641
455	69.1641	69.1641
456	69.1641	69.1641
457	68.9157	69.1603
458	68.9157	69.1321
459	68.9157	69.0707
460	68.9157	69.0061
461	68.9157	68.9492
462	68.9157	68.9157
463	68.9157	68.9157
464	68.9157	68.9157
465	68.9157	68.9157
466	68.9157	68.9157
467	68.9157	68.9157
468	68.9157	68.9157
469	68.9157	68.9157
470	68.9157	68.9157
471	68.9157	68.9157
472	68.9157	68.9157
473	68.9157	68.9157
474	68.9157	68.9157
475	68.9157	68.9157
476	68.9157	68.9157
477	68.9157	68.9157
478	68.9157	68.9157
479	68.9157	68.9157
480	68.9157	68.9157
481	68.9157	68.9157
482	68.9157	68.9157
483	68.9157	68.9157
484	68.9157	68.9157
485	68.9157	68.9157
486	68.9157	68.9157
487	68.9157	68.9157
488	68.9157	68.9157
489	68.9157	68.9157
490	68.9157	68.9157
491	68.9157	68.9157
492	68.9157	68.9157
493	68.9157	68.9157
494	68.9157	68.9157
495	68.9157	68.9157
496	68.9157	68.9157
497	68.9157	68.9157
498	68.9157	68.9157
499	68.9157	68.9157
500	68.9157	68.9157
501	68.9157	68.9157
502	68.9157	68.9157
503	68.9157	68.9157
504	68.9157	68.9157
505	68.9157	68.9157
506	68.9157	68.9157
507	68.9157	68.9157
508	68.9157	68.9157
509	68.9157	68.9157
510	68.9157	68.9157
511	68.9157	68.9157
512	68.9157	68.9157
513	68.9157	68.9157
514	68.9157	68.9157
515	68.9157	68.9157
516	68.9157	68.9157
517	68.9157	68.9157
518	68.9157	68.9157
519	68.9157	68.9157
520	68.9157	68.9157
521	68.9157	68.9157
522	68.9157	68.9157
523	68.9157	68.9157
524	68.9157	68.9157
525	68.9157	68.9157
526	68.9157	68.9157
527	68.9157	68.9157
528	68.9157	68.9157
529	68.9157	68.9157
530	68.9157	68.9157
531	68.9157	68.9157
532	68.9157	68.9157
533	68.9157	68.9157
534	68.9157	68.9157
535	68.9157	68.9157
536	68.9157	68.9157
537	68.9157	68.9157
538	68.9157	68.9157
539	68.9157	68.9157
540	68.9157	68.9157
541	68.9157	68.9157
542	68.9157	68.9157
543	68.9157	68.9157
544	68.9157	68.9157
545	68.9157	68.9157
546	68.9157	68.9157
547	68.9157	68.9157
548	68.9157	68.9157
549	68.9157	68.9157
550	68.9157	68.9157
551	68.9157	68.9157
552	68.9157	68.9157
553	68.9157	68.9157
554	68.9157	68.9157
555	68.9157	68.9157
556	68.9157	68.9157
557	68.9157	68.9157
558	68.9157	68.9157
559	68.9157	68.9157
560	68.9157	68.9157
561	68.9157	68.9157
562	68.9157	68.9157
563	68.9157	68.9157
564	68.9157	68.9157
565	68.9157	68.9157
566	68.9157	68.9157
567	68.9157	68.9157
568	68.9157	68.9157
569	68.9157	68.9157
570	68.9157	68.9157
571	68.9157	68.9157
572	68.9157	68.9157
573	68.9157	68.9157
574	68.9157	68.9157
575	68.9157	68.9157
576	68.9157	68.9157
577	68.9157	68.9157
578	68.9157	68.9157
579	68.9157	68.9157
580	68.9157	68.9157
581	68.9157	68.9157
582	68.9157	68.9157
583	68.9157	68.9157
584	68.9157	68.9157
585	68.9157	68.9157
586	68.9157	68.9157
587	68.9157	68.9157
588	68.9157	68.9157
589	68.9157	68.9157
590	68.9157	68.9157
591	68.9157	68.9157
592	68.9157	68.9157
593	68.9157	68.9157
594	68.9157	68.9157
595	68.9157	68.9157
596	68.9157	68.9157
597	68.9157	68.9157
598	68.9157	68.9157
599	68.9157	68.9157
600	68.9157	68.9157
601	68.9157	68.9157
602	68.9157	68.9157
603	68.9157	68.9157
604	68.9157	68.9157
605	68.9157	68.9157
606	68.9157	68.9157
607	68.9157	68.9157
608	68.9157	68.9157
609	68.9157	68.9157
610	68.9157	68.9157
611	68.9157	68.9157
612	68.9157	68.9157
613	68.9157	68.9157
614	68.9157	68.9157
615	68.9157	68.9157
616	68.9157	68.9157
617	68.9157	68.9157
618	68.9157	68.9157
619	68.9157	68.9157
620	68.9157	68.9157
621	68.9157	68.9157
622	68.9157	68.9157
623	68.9157	68.9157
624	68.9157	68.9157
625	68.9157	68.9157
626	68.8815	68.9157
627	68.9157	68.9157
628	68.9157	68.9157
629	68.9157	68.9157
630	68.9157	68.9157
631	68.9157	68.9157
632	68.9157	68.9157
633	68.9157	68.9157
634	68.9157	68.9157
635	68.9157	68.9157
636	68.9157	68.9157
637	68.9157	68.9157
638	68.9157	68.9157
639	68.9157	68.9157
640	68.9157	68.9157
641	68.9157	68.9157
642	68.9157	68.9157
643	68.9157	68.9157
644	68.9157	68.9157
645	68.9157	68.9157
646	68.9157	68.9157
647	68.9157	68.9157
648	68.9157	68.9157
649	68.9157	68.9157
650	68.9157	68.9157
651	68.9157	68.9157
652	68.9157	68.9157
653	68.9157	68.9157
654	68.9157	68.9157
655	68.9157	68.9157
656	68.9157	68.9157
657	68.9157	68.9157
658	68.9157	68.9157
659	68.9157	68.9157
660	68.9157	68.9157
661	68.9157	68.9157
662	68.9157	68.9157
663	68.9157	68.9157
664	68.9157	68.9157
665	68.9157	68.9157
666	68.9157	68.9157
667	68.9157	68.9157
668	68.9157	68.9157
669	68.9157	68.9157
670	68.9157	68.9157
671	68.9157	68.9157
672	68.9157	68.9157
673	68.9157	68.9157
674	68.9157	68.9157
675	68.9157	68.9157
676	68.9157	68.9157
677	68.9157	68.9157
678	68.9157	68.9157
679	68.9157	68.9157
680	68.9157	68.9157
681	68.9157	68.9157
682	68.9157	68.9157
683	68.9157	68.9157
684	68.9157	68.9157
685	68.9157	68.9157
686	68.9157	68.9157
687	68.9157	68.9157
688	68.9157	68.9157
689	68.9157	68.9157
690	68.9157	68.9157
691	68.9157	68.9157
692	68.9157	68.9157
693	68.9157	68.9157
694	68.9157	68.9157
695	68.9157	68.9157
696	68.9157	68.9157
697	68.9157	68.9157
698	68.9157	68.9157
